Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.24     0.00       80     0.00     0.00  sub_10057fa0()
  0.00      5.24     0.00       80     0.00     0.00  sub_10069c30()
  0.00      5.24     0.00       80     0.00     0.00  sub_10070260()
  0.00      5.24     0.00       78     0.00     0.00  sub_10065910()
  0.00      5.24     0.00       78     0.00     0.00  fpuinsns::fdivp80(double&)
  0.00      5.24     0.00       70     0.00     0.08  sub_1004fb80()
  0.00      5.24     0.00       70     0.00     0.00  sub_100520f0()
  0.00      5.24     0.00       70     0.00     0.00  sub_100521d0()
  0.00      5.24     0.00       69     0.00     0.00  sub_1001f0c0()
  0.00      5.24     0.00       69     0.00     0.00  sub_1001f0d0()
  0.00      5.24     0.00       69     0.00     0.00  sub_10026fb0()
  0.00      5.24     0.00       68     0.00     0.00  sub_10031d70()
  0.00      5.24     0.00       66     0.00     0.00  sub_10058480()
  0.00      5.24     0.00       62     0.00     0.00  sub_10070390()
  0.00      5.24     0.00       62     0.00     0.00  sub_10070420()
  0.00      5.24     0.00       61     0.00     0.71  sub_1006a4e0()
  0.00      5.24     0.00       56     0.00     0.00  sub_1006fab0()
  0.00      5.24     0.00       54     0.00     0.00  sub_10056ef0()
  0.00      5.24     0.00       48     0.00     0.00  sub_10058620()
  0.00      5.24     0.00       48     0.00     0.00  sub_10064670()
  0.00      5.24     0.00       48     0.00     0.00  sub_1006f1a0()
  0.00      5.24     0.00       46     0.00     0.00  sub_1003bd60()
  0.00      5.24     0.00       46     0.00     0.00  sub_100c9ce7()
  0.00      5.24     0.00       44     0.00     0.00  sub_10069030()
  0.00      5.24     0.00       44     0.00     0.00  sub_1006f1e0()
  0.00      5.24     0.00       42     0.00     0.00  sub_1004c150()
  0.00      5.24     0.00       42     0.00     0.00  sub_100ce5e8()
  0.00      5.24     0.00       42     0.00     0.00  fpuinsns::fdivrpst(int)
  0.00      5.24     0.00       41     0.00     0.00  sub_10019e80()
  0.00      5.24     0.00       41     0.00     0.00  sub_1001a530()
  0.00      5.24     0.00       41     0.00     0.00  sub_10055240()
  0.00      5.24     0.00       41     0.00     0.00  sub_10065680()
  0.00      5.24     0.00       41     0.00     0.00  sub_10065df0()
  0.00      5.24     0.00       41     0.00     0.00  sub_10066d70()
  0.00      5.24     0.00       41     0.00     0.00  sub_10067860()
  0.00      5.24     0.00       40     0.00     0.00  sub_10007b20()
  0.00      5.24     0.00       40     0.00     0.01  sub_1001dfd0()
  0.00      5.24     0.00       40     0.00     0.00  sub_10036ac0()
  0.00      5.24     0.00       40     0.00     0.00  sub_1004fae0()
  0.00      5.24     0.00       40     0.00     0.00  sub_1004fb30()
  0.00      5.24     0.00       40     0.00     0.00  sub_10051bd0()
  0.00      5.24     0.00       40     0.00     0.00  sub_10051ff0()
  0.00      5.24     0.00       40     0.00     0.00  sub_10052090()
  0.00      5.24     0.00       40     0.00     0.00  sub_10058160()
  0.00      5.24     0.00       40     0.00     0.00  sub_10065780()
  0.00      5.24     0.00       40     0.00     0.00  sub_100682e0()
  0.00      5.24     0.00       40     0.00     0.00  sub_10068320()
  0.00      5.24     0.00       40     0.00     0.00  sub_10068360()
  0.00      5.24     0.00       40     0.00     0.00  sub_10068380()
  0.00      5.24     0.00       40     0.00     0.00  sub_10069080()
  0.00      5.24     0.00       40     0.00     0.00  sub_10069100()
  0.00      5.24     0.00       40     0.00     0.00  sub_10069170()
  0.00      5.24     0.00       40     0.00     0.00  sub_100691c0()
  0.00      5.24     0.00       40     0.00     0.00  sub_1006fad0()
  0.00      5.24     0.00       36     0.00     0.01  sub_10057970()
  0.00      5.24     0.00       36     0.00     0.00  sub_10069a90()
  0.00      5.24     0.00       36     0.00     0.00  subopt_100678c0()
  0.00      5.24     0.00       35     0.00     0.00  sub_10025cb0()
  0.00      5.24     0.00       35     0.00     0.00  sub_1004ba00()
  0.00      5.24     0.00       35     0.00     0.00  sub_1004ba50()
  0.00      5.24     0.00       35     0.00     0.18  sub_10052440()
  0.00      5.24     0.00       34     0.00     0.00  sub_100682c0()
  0.00      5.24     0.00       34     0.00     0.00  sub_10068300()
  0.00      5.24     0.00       34     0.00     0.00  sub_10068340()
  0.00      5.24     0.00       34     0.00     0.00  sub_100690d0()
  0.00      5.24     0.00       34     0.00     0.00  sub_10069130()
  0.00      5.24     0.00       34     0.00     0.00  sub_1006d7c0()
  0.00      5.24     0.00       33     0.00     0.01  sub_1001e150()
  0.00      5.24     0.00       33     0.00     0.00  sub_1001e180()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dbb0()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dbe0()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dc10()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dc40()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dc70()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dca0()
  0.00      5.24     0.00       32     0.00     0.01  sub_1001dd30()
  0.00      5.24     0.00       32     0.00     0.00  sub_10070550()
  0.00      5.24     0.00       31     0.00     0.00  kernel32::vfsTranslate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      5.24     0.00       30     0.00     0.01  sub_1001df40()
  0.00      5.24     0.00       30     0.00     0.08  sub_1004fc00()
  0.00      5.24     0.00       30     0.00     0.00  sub_10052350()
  0.00      5.24     0.00       30     0.00     0.00  sub_1005cdf0()
  0.00      5.24     0.00       30     0.00     0.00  sub_1005ce50()
  0.00      5.24     0.00       30     0.00     0.00  sub_1005d150()
  0.00      5.24     0.00       30     0.00     0.00  sub_10062c60()
  0.00      5.24     0.00       30     0.00     0.00  sub_10069750()
  0.00      5.24     0.00       30     0.00     0.00  sub_1006f980()
  0.00      5.24     0.00       28     0.00     0.00  sub_10037010()
  0.00      5.24     0.00       28     0.00     0.00  sub_10071e20()
  0.00      5.24     0.00       27     0.00     0.00  sub_1001f190()
  0.00      5.24     0.00       27     0.00     0.00  sub_1004b0d0()
  0.00      5.24     0.00       27     0.00     0.00  sub_1004b660()
  0.00      5.24     0.00       27     0.00     0.01  kernel32::FindFirstFileA()
  0.00      5.24     0.00       26     0.00     0.00  sub_1006e360()
  0.00      5.24     0.00       25     0.00     0.00  sub_10007430()
  0.00      5.24     0.00       25     0.00     0.00  sub_1001d5e0()
  0.00      5.24     0.00       25     0.00     0.00  sub_1001d610()
  0.00      5.24     0.00       25     0.00     0.00  sub_10049db0()
  0.00      5.24     0.00       25     0.00     0.09  sub_10051de0()
  0.00      5.24     0.00       24     0.00     0.00  sub_100015a0()
  0.00      5.24     0.00       24     0.00     0.00  sub_1005f790()
  0.00      5.24     0.00       24     0.00     0.00  sub_1005f820()
  0.00      5.24     0.00       24     0.00     0.00  sub_1005fbc0()
  0.00      5.24     0.00       24     0.00     0.00  sub_10060b40()
  0.00      5.24     0.00       24     0.00     0.00  sub_10064b20()
  0.00      5.24     0.00       24     0.00     0.00  push32(unsigned int)
  0.00      5.24     0.00       22     0.00     0.00  sub_10049a60()
  0.00      5.24     0.00       22     0.00     0.00  sub_10058690()
  0.00      5.24     0.00       22     0.00     0.00  sub_100ca6c6()
  0.00      5.24     0.00       21     0.00     0.00  sub_1001bf10()
  0.00      5.24     0.00       21     0.00     0.00  sub_100ca480()
  0.00      5.24     0.00       20     0.00     0.00  sub_10005150()
  0.00      5.24     0.00       20     0.00     0.00  sub_1001d580()
  0.00      5.24     0.00       20     0.00     0.00  sub_1001d5b0()
  0.00      5.24     0.00       20     0.00     0.00  sub_10052010()
  0.00      5.24     0.00       20     0.00     0.00  sub_100655b0()
  0.00      5.24     0.00       20     0.00     0.00  sub_10067fc0()
  0.00      5.24     0.00       20     0.00     0.00  sub_10068190()
  0.00      5.24     0.00       20     0.00     0.00  sub_10068200()
  0.00      5.24     0.00       20     0.00     0.00  sub_10069cc0()
  0.00      5.24     0.00       20     0.00     0.00  sub_10069da0()
  0.00      5.24     0.00       20     0.00     0.00  sub_10069e40()
  0.00      5.24     0.00       20     0.00     0.00  sub_1006d140()
  0.00      5.24     0.00       20     0.00     0.00  sub_1006f1d0()
  0.00      5.24     0.00       19     0.00     0.00  sub_10056db0()
  0.00      5.24     0.00       19     0.00     0.00  sub_100574c0()
  0.00      5.24     0.00       18     0.00     0.00  kernel32::GetProcAddress()
  0.00      5.24     0.00       17     0.00     0.00  sub_10031f60()
